run_id,latent_dim,metric_name,accumulation_method,value
1,1,log_likelihood,mean,-296.189383
2,2,log_likelihood,mean,34.237036
3,3,log_likelihood,mean,227.188866
4,4,log_likelihood,mean,170.096278
5,5,log_likelihood,mean,632.388431
6,6,log_likelihood,mean,1575.974044
7,7,log_likelihood,mean,450.319744
8,8,log_likelihood,mean,-98.126408
9,9,log_likelihood,mean,2682.587579
10,10,log_likelihood,mean,1203.944360
11,11,log_likelihood,mean,-1621.948955
12,12,log_likelihood,mean,1139.650588
13,13,log_likelihood,mean,-127.224921
14,14,log_likelihood,mean,1323.739379
15,15,log_likelihood,mean,1453.542288
16,16,log_likelihood,mean,-150.569686
17,17,log_likelihood,mean,-2272.235060
18,18,log_likelihood,mean,1648.197106
19,19,log_likelihood,mean,-1589.456073
20,20,log_likelihood,mean,-1862.383400
21,21,log_likelihood,mean,917.504530
22,22,log_likelihood,mean,1490.442652
23,23,log_likelihood,mean,1487.377693
24,24,log_likelihood,mean,-2586.930222
25,25,log_likelihood,mean,-2178.616568
26,26,log_likelihood,mean,-1883.293975
27,27,log_likelihood,mean,2589.380737
28,28,log_likelihood,mean,-1478.240341
29,29,log_likelihood,mean,1557.708022
30,30,log_likelihood,mean,-115.476830
31,31,log_likelihood,mean,1645.130959
32,32,log_likelihood,mean,2680.914639
33,33,log_likelihood,mean,596.068432
34,34,log_likelihood,mean,1071.334515
35,35,log_likelihood,mean,1590.150555
36,36,log_likelihood,mean,606.338769
37,37,log_likelihood,mean,382.421775
38,38,log_likelihood,mean,1782.835238
39,39,log_likelihood,mean,3907.393401
40,40,log_likelihood,mean,-276.665437
41,41,log_likelihood,mean,551.919890
42,42,log_likelihood,mean,-1627.924891
43,43,log_likelihood,mean,-3558.099364
44,44,log_likelihood,mean,1404.347412
46,46,log_likelihood,mean,2123.810322
47,47,log_likelihood,mean,1579.086739
48,48,log_likelihood,mean,433.240214
49,49,log_likelihood,mean,2828.788166
50,50,log_likelihood,mean,-487.645603
51,1,log_likelihood,mean,-354.806827
52,2,log_likelihood,mean,208.292734
53,3,log_likelihood,mean,134.319473
54,4,log_likelihood,mean,596.699578
55,5,log_likelihood,mean,-261.202285
56,6,log_likelihood,mean,1191.286141
57,7,log_likelihood,mean,1760.898697
58,8,log_likelihood,mean,222.098744
59,9,log_likelihood,mean,1700.745824
60,10,log_likelihood,mean,-899.326016
61,11,log_likelihood,mean,-807.252127
62,12,log_likelihood,mean,-686.153568
63,13,log_likelihood,mean,1840.831188
64,14,log_likelihood,mean,-962.929750
65,15,log_likelihood,mean,-888.173717
66,16,log_likelihood,mean,-276.644142
67,17,log_likelihood,mean,-464.664474
68,18,log_likelihood,mean,-2395.100287
69,19,log_likelihood,mean,-776.142331
70,20,log_likelihood,mean,102.493143
71,21,log_likelihood,mean,2166.849340
73,23,log_likelihood,mean,1386.634029
74,24,log_likelihood,mean,-376.227021
75,25,log_likelihood,mean,-1139.388798
76,26,log_likelihood,mean,183.025136
77,27,log_likelihood,mean,1179.674226
78,28,log_likelihood,mean,-944.778092
79,29,log_likelihood,mean,-31.530181
80,30,log_likelihood,mean,2359.539731
81,31,log_likelihood,mean,1635.953470
82,32,log_likelihood,mean,-77.546625
83,33,log_likelihood,mean,1435.324406
84,34,log_likelihood,mean,-339.371189
85,35,log_likelihood,mean,-58.819456
87,37,log_likelihood,mean,1544.816370
88,38,log_likelihood,mean,492.155148
89,39,log_likelihood,mean,-1850.011230
90,40,log_likelihood,mean,1348.873530
91,41,log_likelihood,mean,-1527.074910
92,42,log_likelihood,mean,1160.825363
93,43,log_likelihood,mean,538.706063
94,44,log_likelihood,mean,-1798.026381
95,45,log_likelihood,mean,1192.741831
96,46,log_likelihood,mean,-596.811243
97,47,log_likelihood,mean,3660.004847
98,48,log_likelihood,mean,380.313128
99,49,log_likelihood,mean,561.334775
100,50,log_likelihood,mean,2604.693333
101,1,log_likelihood,mean,-257.656457
102,2,log_likelihood,mean,-14.972020
103,3,log_likelihood,mean,485.728829
104,4,log_likelihood,mean,762.407745
105,5,log_likelihood,mean,133.191815
106,6,log_likelihood,mean,-602.925482
107,7,log_likelihood,mean,594.153252
108,8,log_likelihood,mean,172.330449
109,9,log_likelihood,mean,1030.304620
110,10,log_likelihood,mean,319.910295
111,11,log_likelihood,mean,124.679767
112,12,log_likelihood,mean,665.217572
113,13,log_likelihood,mean,193.611887
114,14,log_likelihood,mean,-1505.502137
115,15,log_likelihood,mean,141.658724
116,16,log_likelihood,mean,3777.714692
117,17,log_likelihood,mean,355.752828
118,18,log_likelihood,mean,1014.760624
119,19,log_likelihood,mean,1395.212955
120,20,log_likelihood,mean,3325.610748
121,21,log_likelihood,mean,-983.843805
122,22,log_likelihood,mean,-976.996147
123,23,log_likelihood,mean,-288.334136
124,24,log_likelihood,mean,432.058571
125,25,log_likelihood,mean,943.561469
126,26,log_likelihood,mean,-502.506970
127,27,log_likelihood,mean,1659.351946
128,28,log_likelihood,mean,218.298197
129,29,log_likelihood,mean,-709.821084
130,30,log_likelihood,mean,-126.128332
131,31,log_likelihood,mean,2509.907576
132,32,log_likelihood,mean,1366.271822
133,33,log_likelihood,mean,-2136.208324
134,34,log_likelihood,mean,2761.238772
135,35,log_likelihood,mean,291.705757
136,36,log_likelihood,mean,-673.272287
138,38,log_likelihood,mean,-1210.760392
139,39,log_likelihood,mean,-1083.191467
140,40,log_likelihood,mean,-72.803690
142,42,log_likelihood,mean,-312.541410
144,44,log_likelihood,mean,1828.200571
145,45,log_likelihood,mean,1031.035055
146,46,log_likelihood,mean,86.770017
147,47,log_likelihood,mean,2287.584747
149,49,log_likelihood,mean,-3339.848522
150,50,log_likelihood,mean,682.949892
151,1,log_likelihood,mean,-246.822939
152,2,log_likelihood,mean,25.872953
153,3,log_likelihood,mean,274.008203
154,4,log_likelihood,mean,383.074070
155,5,log_likelihood,mean,1367.989396
156,6,log_likelihood,mean,603.746944
157,7,log_likelihood,mean,1236.292866
158,8,log_likelihood,mean,1382.959894
159,9,log_likelihood,mean,-1488.574304
160,10,log_likelihood,mean,-393.152977
161,11,log_likelihood,mean,2072.666749
162,12,log_likelihood,mean,2777.962081
163,13,log_likelihood,mean,1856.709002
164,14,log_likelihood,mean,-145.791971
165,15,log_likelihood,mean,-1689.745776
166,16,log_likelihood,mean,-2968.555013
167,17,log_likelihood,mean,1101.192145
168,18,log_likelihood,mean,4843.739134
169,19,log_likelihood,mean,-1637.248513
170,20,log_likelihood,mean,-664.400702
171,21,log_likelihood,mean,-877.812964
172,22,log_likelihood,mean,-1519.334444
173,23,log_likelihood,mean,979.836206
174,24,log_likelihood,mean,942.058958
176,26,log_likelihood,mean,-2333.196197
177,27,log_likelihood,mean,493.087782
178,28,log_likelihood,mean,-3669.668525
179,29,log_likelihood,mean,-483.484496
180,30,log_likelihood,mean,-402.232872
181,31,log_likelihood,mean,3506.412232
182,32,log_likelihood,mean,849.074604
183,33,log_likelihood,mean,2919.846955
184,34,log_likelihood,mean,2562.197506
185,35,log_likelihood,mean,780.833428
186,36,log_likelihood,mean,-2799.606718
187,37,log_likelihood,mean,806.720427
188,38,log_likelihood,mean,-1207.148872
189,39,log_likelihood,mean,-1554.182311
190,40,log_likelihood,mean,-371.006451
191,41,log_likelihood,mean,-363.805022
192,42,log_likelihood,mean,-797.277493
193,43,log_likelihood,mean,700.443695
