run_id,latent_dim,metric_name,accumulation_method,value
1,1,log_likelihood,mean,370.479389
2,2,log_likelihood,mean,2404.592571
3,3,log_likelihood,mean,2936.685150
4,4,log_likelihood,mean,2684.603222
5,5,log_likelihood,mean,4306.871775
6,6,log_likelihood,mean,5381.109391
7,7,log_likelihood,mean,4412.113526
8,8,log_likelihood,mean,7501.704049
9,9,log_likelihood,mean,7336.679477
10,10,log_likelihood,mean,7572.230329
11,11,log_likelihood,mean,9332.671985
12,12,log_likelihood,mean,9299.981770
13,13,log_likelihood,mean,7979.770346
14,14,log_likelihood,mean,11069.408646
15,15,log_likelihood,mean,12090.382052
16,16,log_likelihood,mean,9476.141602
17,17,log_likelihood,mean,12079.773699
18,18,log_likelihood,mean,11452.758893
19,19,log_likelihood,mean,14844.263310
20,20,log_likelihood,mean,14110.099476
21,21,log_likelihood,mean,14923.422099
22,22,log_likelihood,mean,15356.399114
23,23,log_likelihood,mean,13421.799246
24,24,log_likelihood,mean,15215.440132
25,25,log_likelihood,mean,18243.888594
26,26,log_likelihood,mean,17698.501046
27,27,log_likelihood,mean,15247.719562
28,28,log_likelihood,mean,17649.831028
29,29,log_likelihood,mean,17409.068314
30,30,log_likelihood,mean,17788.570679
31,31,log_likelihood,mean,19618.518620
32,32,log_likelihood,mean,19419.740777
33,33,log_likelihood,mean,21584.618988
34,34,log_likelihood,mean,19725.438799
35,35,log_likelihood,mean,20075.405323
36,36,log_likelihood,mean,21013.529234
37,37,log_likelihood,mean,20295.812219
38,38,log_likelihood,mean,20574.312672
39,39,log_likelihood,mean,22226.853191
40,40,log_likelihood,mean,19843.861217
41,41,log_likelihood,mean,22153.288463
42,42,log_likelihood,mean,23558.466984
43,43,log_likelihood,mean,23174.326760
44,44,log_likelihood,mean,23526.045605
45,45,log_likelihood,mean,24349.587246
46,46,log_likelihood,mean,29058.744193
47,47,log_likelihood,mean,24285.872242
48,48,log_likelihood,mean,26905.355625
49,49,log_likelihood,mean,26361.356617
50,50,log_likelihood,mean,26588.575385
51,1,log_likelihood,mean,1180.482466
52,2,log_likelihood,mean,1590.251173
53,3,log_likelihood,mean,4213.292209
54,4,log_likelihood,mean,4638.116013
55,5,log_likelihood,mean,4847.851144
56,6,log_likelihood,mean,5267.152164
57,7,log_likelihood,mean,6026.934161
58,8,log_likelihood,mean,7741.265962
59,9,log_likelihood,mean,7313.432562
60,10,log_likelihood,mean,7435.523558
61,11,log_likelihood,mean,8472.383398
62,12,log_likelihood,mean,9081.918878
63,13,log_likelihood,mean,10728.966513
64,14,log_likelihood,mean,11343.700260
65,15,log_likelihood,mean,11486.754541
66,16,log_likelihood,mean,12814.439266
67,17,log_likelihood,mean,10679.251464
68,18,log_likelihood,mean,13814.613737
69,19,log_likelihood,mean,14674.285952
70,20,log_likelihood,mean,14287.047489
71,21,log_likelihood,mean,16318.723090
72,22,log_likelihood,mean,15766.180763
73,23,log_likelihood,mean,13262.252294
74,24,log_likelihood,mean,16659.559286
75,25,log_likelihood,mean,17289.946754
76,26,log_likelihood,mean,17813.182575
77,27,log_likelihood,mean,17267.105481
78,28,log_likelihood,mean,16109.057975
79,29,log_likelihood,mean,18283.413873
80,30,log_likelihood,mean,17655.380604
81,31,log_likelihood,mean,16540.745708
82,32,log_likelihood,mean,17082.178899
83,33,log_likelihood,mean,19099.010597
84,34,log_likelihood,mean,19634.541499
85,35,log_likelihood,mean,20550.919362
86,36,log_likelihood,mean,21176.397200
87,37,log_likelihood,mean,18386.336889
88,38,log_likelihood,mean,22061.886519
89,39,log_likelihood,mean,21075.941971
90,40,log_likelihood,mean,24077.988575
91,41,log_likelihood,mean,22799.923213
92,42,log_likelihood,mean,23863.072938
93,43,log_likelihood,mean,23932.082775
94,44,log_likelihood,mean,22461.227230
95,45,log_likelihood,mean,22643.403573
96,46,log_likelihood,mean,22904.677783
97,47,log_likelihood,mean,24942.519149
98,48,log_likelihood,mean,25671.094068
99,49,log_likelihood,mean,23538.198650
100,50,log_likelihood,mean,24800.358729
101,1,log_likelihood,mean,1204.306477
102,2,log_likelihood,mean,1934.656098
103,3,log_likelihood,mean,2238.494188
104,4,log_likelihood,mean,3889.760383
105,5,log_likelihood,mean,4837.382349
106,6,log_likelihood,mean,3979.481891
107,7,log_likelihood,mean,6256.453468
108,8,log_likelihood,mean,6090.567949
109,9,log_likelihood,mean,7198.837488
110,10,log_likelihood,mean,8590.527058
111,11,log_likelihood,mean,8692.855944
112,12,log_likelihood,mean,9977.786620
113,13,log_likelihood,mean,11056.763567
114,14,log_likelihood,mean,11554.861010
115,15,log_likelihood,mean,11756.414888
116,16,log_likelihood,mean,11522.361959
117,17,log_likelihood,mean,12006.355263
118,18,log_likelihood,mean,12118.275739
119,19,log_likelihood,mean,13126.334660
120,20,log_likelihood,mean,13886.642674
121,21,log_likelihood,mean,15581.648182
122,22,log_likelihood,mean,16271.204559
123,23,log_likelihood,mean,15339.409694
124,24,log_likelihood,mean,16479.083184
125,25,log_likelihood,mean,17588.653880
126,26,log_likelihood,mean,17068.002520
127,27,log_likelihood,mean,15195.474979
128,28,log_likelihood,mean,16844.350953
129,29,log_likelihood,mean,19840.637029
130,30,log_likelihood,mean,18987.222628
131,31,log_likelihood,mean,17156.844335
132,32,log_likelihood,mean,19071.764250
133,33,log_likelihood,mean,19485.511556
134,34,log_likelihood,mean,20621.793606
135,35,log_likelihood,mean,19540.907724
136,36,log_likelihood,mean,23206.348016
137,37,log_likelihood,mean,20768.031537
138,38,log_likelihood,mean,22981.126126
139,39,log_likelihood,mean,23350.898021
140,40,log_likelihood,mean,21081.217354
141,41,log_likelihood,mean,22796.469348
142,42,log_likelihood,mean,24631.277161
143,43,log_likelihood,mean,22296.832072
144,44,log_likelihood,mean,23152.379980
145,45,log_likelihood,mean,23818.710452
146,46,log_likelihood,mean,24156.016324
147,47,log_likelihood,mean,25568.162469
148,48,log_likelihood,mean,26018.691389
149,49,log_likelihood,mean,27457.265887
150,50,log_likelihood,mean,25177.287501
151,1,log_likelihood,mean,2249.530608
152,2,log_likelihood,mean,2615.653818
153,3,log_likelihood,mean,3438.697087
