run_id,latent_dim,metric_name,accumulation_method,value
1,1,log_likelihood,mean,274.270727
2,2,log_likelihood,mean,1863.300307
3,3,log_likelihood,mean,7527.413351
4,4,log_likelihood,mean,4723.188092
5,5,log_likelihood,mean,7769.047033
6,6,log_likelihood,mean,9232.769351
7,7,log_likelihood,mean,9273.834835
8,8,log_likelihood,mean,12760.853944
9,9,log_likelihood,mean,11389.960796
10,10,log_likelihood,mean,16307.104493
11,11,log_likelihood,mean,12269.539564
12,12,log_likelihood,mean,14472.695225
13,13,log_likelihood,mean,10450.380337
14,14,log_likelihood,mean,14137.928372
15,15,log_likelihood,mean,13563.209717
16,16,log_likelihood,mean,17181.339420
17,17,log_likelihood,mean,22605.564851
18,18,log_likelihood,mean,15997.931525
19,19,log_likelihood,mean,19637.108909
20,20,log_likelihood,mean,21741.695856
21,21,log_likelihood,mean,26850.906188
22,22,log_likelihood,mean,24887.045555
23,23,log_likelihood,mean,27554.036443
24,24,log_likelihood,mean,25280.044214
25,25,log_likelihood,mean,24388.570011
26,26,log_likelihood,mean,31407.676090
27,27,log_likelihood,mean,27452.005116
28,28,log_likelihood,mean,34535.536015
29,29,log_likelihood,mean,31370.394304
30,30,log_likelihood,mean,37214.516095
31,31,log_likelihood,mean,36646.488313
32,32,log_likelihood,mean,34002.318442
33,33,log_likelihood,mean,40344.978592
34,34,log_likelihood,mean,38987.452642
35,35,log_likelihood,mean,40416.302903
36,36,log_likelihood,mean,41426.573520
37,37,log_likelihood,mean,45377.670710
38,38,log_likelihood,mean,45828.658785
39,39,log_likelihood,mean,46786.603810
40,40,log_likelihood,mean,48894.886138
41,41,log_likelihood,mean,50782.346823
42,42,log_likelihood,mean,46971.432623
43,43,log_likelihood,mean,50766.263807
44,44,log_likelihood,mean,59253.793887
45,45,log_likelihood,mean,52753.879376
46,46,log_likelihood,mean,55528.667891
47,47,log_likelihood,mean,57344.851148
48,48,log_likelihood,mean,58039.214203
49,49,log_likelihood,mean,60772.409194
50,1,log_likelihood,mean,-1124.668012
51,2,log_likelihood,mean,2547.048164
52,3,log_likelihood,mean,5507.512875
53,4,log_likelihood,mean,5362.397955
54,5,log_likelihood,mean,1197.281253
55,6,log_likelihood,mean,4731.756359
56,7,log_likelihood,mean,8560.281321
57,8,log_likelihood,mean,16220.173782
58,9,log_likelihood,mean,10463.447042
59,10,log_likelihood,mean,9668.148217
60,11,log_likelihood,mean,11174.042694
61,12,log_likelihood,mean,9985.574815
62,13,log_likelihood,mean,9002.659666
63,14,log_likelihood,mean,13566.090265
64,15,log_likelihood,mean,16644.831604
65,16,log_likelihood,mean,17300.484498
66,17,log_likelihood,mean,18310.015693
67,18,log_likelihood,mean,19600.508250
68,19,log_likelihood,mean,20056.082733
69,20,log_likelihood,mean,17033.641255
70,21,log_likelihood,mean,21083.937081
71,22,log_likelihood,mean,22832.785974
72,23,log_likelihood,mean,23433.346846
73,24,log_likelihood,mean,23375.130700
74,25,log_likelihood,mean,25401.444858
75,26,log_likelihood,mean,29723.334068
76,27,log_likelihood,mean,33589.987632
77,28,log_likelihood,mean,28043.358006
78,29,log_likelihood,mean,31061.917724
79,30,log_likelihood,mean,34296.962627
80,31,log_likelihood,mean,34024.284869
81,32,log_likelihood,mean,42392.536512
82,33,log_likelihood,mean,40292.239509
83,34,log_likelihood,mean,37557.782228
84,35,log_likelihood,mean,40273.505557
85,36,log_likelihood,mean,43585.995227
86,37,log_likelihood,mean,44597.148637
87,38,log_likelihood,mean,47404.503031
88,39,log_likelihood,mean,41181.610104
89,40,log_likelihood,mean,51501.232711
90,41,log_likelihood,mean,52407.389280
91,42,log_likelihood,mean,49911.928461
92,43,log_likelihood,mean,54230.654702
93,44,log_likelihood,mean,53121.318627
94,45,log_likelihood,mean,53220.008237
95,46,log_likelihood,mean,52537.785292
96,47,log_likelihood,mean,61691.539349
97,48,log_likelihood,mean,58362.409647
98,49,log_likelihood,mean,62494.468855
99,1,log_likelihood,mean,495.330897
100,2,log_likelihood,mean,2730.460448
101,3,log_likelihood,mean,4051.947572
102,4,log_likelihood,mean,4116.638224
103,5,log_likelihood,mean,5502.514986
104,6,log_likelihood,mean,6969.046741
105,7,log_likelihood,mean,12691.553173
106,8,log_likelihood,mean,8830.380774
107,9,log_likelihood,mean,9916.053737
108,10,log_likelihood,mean,11503.989126
109,11,log_likelihood,mean,10432.617076
110,12,log_likelihood,mean,11627.711058
111,13,log_likelihood,mean,14598.355112
112,14,log_likelihood,mean,13497.770185
113,15,log_likelihood,mean,14083.421819
114,16,log_likelihood,mean,22794.128374
115,17,log_likelihood,mean,17963.521482
116,18,log_likelihood,mean,18094.213909
117,19,log_likelihood,mean,21512.545010
118,20,log_likelihood,mean,24290.756566
119,21,log_likelihood,mean,21543.356959
120,22,log_likelihood,mean,26055.255559
121,23,log_likelihood,mean,27302.255714
122,24,log_likelihood,mean,25690.743600
123,25,log_likelihood,mean,27592.026616
124,26,log_likelihood,mean,30646.174654
125,27,log_likelihood,mean,30217.755137
126,28,log_likelihood,mean,34908.676992
127,29,log_likelihood,mean,31517.437334
128,30,log_likelihood,mean,34188.752106
129,31,log_likelihood,mean,38574.667633
130,32,log_likelihood,mean,38325.116109
131,33,log_likelihood,mean,38839.638573
132,34,log_likelihood,mean,40648.855481
133,35,log_likelihood,mean,41117.953911
134,36,log_likelihood,mean,43795.512358
135,37,log_likelihood,mean,46361.373968
136,38,log_likelihood,mean,43300.266933
137,39,log_likelihood,mean,47288.844761
138,40,log_likelihood,mean,48590.310003
139,41,log_likelihood,mean,51834.877338
140,42,log_likelihood,mean,54923.340607
141,43,log_likelihood,mean,46697.386282
142,44,log_likelihood,mean,53322.519112
143,45,log_likelihood,mean,55759.185705
144,46,log_likelihood,mean,59747.688254
145,47,log_likelihood,mean,59889.433274
146,48,log_likelihood,mean,63084.210827
147,49,log_likelihood,mean,53493.479068
148,1,log_likelihood,mean,-1460.201404
149,2,log_likelihood,mean,3869.108804
150,3,log_likelihood,mean,1110.722368
151,4,log_likelihood,mean,4544.347386
152,5,log_likelihood,mean,3978.132021
153,6,log_likelihood,mean,-1180.118960
154,7,log_likelihood,mean,10214.031688
155,8,log_likelihood,mean,10725.465544
156,9,log_likelihood,mean,10433.772931
157,10,log_likelihood,mean,13134.647103
158,11,log_likelihood,mean,14650.181025
159,12,log_likelihood,mean,11372.196966
160,13,log_likelihood,mean,11744.824700
161,14,log_likelihood,mean,13892.041981
162,15,log_likelihood,mean,16763.292210
163,16,log_likelihood,mean,13221.902208
164,17,log_likelihood,mean,20621.904451
165,18,log_likelihood,mean,20411.042635
166,19,log_likelihood,mean,19102.120646
167,20,log_likelihood,mean,19304.760917
168,21,log_likelihood,mean,18597.319838
169,22,log_likelihood,mean,21242.407348
170,23,log_likelihood,mean,24019.703491
171,24,log_likelihood,mean,24827.942383
172,25,log_likelihood,mean,27146.569507
173,26,log_likelihood,mean,31531.373814
174,27,log_likelihood,mean,30223.363537
175,28,log_likelihood,mean,32766.168875
176,29,log_likelihood,mean,33087.749507
177,30,log_likelihood,mean,31856.244109
178,31,log_likelihood,mean,32856.036271
179,32,log_likelihood,mean,37150.290209
180,33,log_likelihood,mean,36070.015836
181,34,log_likelihood,mean,39566.532053
182,35,log_likelihood,mean,42996.663939
183,36,log_likelihood,mean,38618.298782
184,37,log_likelihood,mean,40527.797255
185,38,log_likelihood,mean,44574.762145
186,39,log_likelihood,mean,45305.392674
187,40,log_likelihood,mean,46837.855019
188,41,log_likelihood,mean,48545.145259
189,42,log_likelihood,mean,50497.674797
190,43,log_likelihood,mean,55131.187135
191,44,log_likelihood,mean,56312.537418
192,45,log_likelihood,mean,54230.155561
193,46,log_likelihood,mean,51319.528082
194,47,log_likelihood,mean,59331.337871
195,48,log_likelihood,mean,58335.143815
196,49,log_likelihood,mean,63682.988117
197,1,log_likelihood,mean,281.853006
