run_id,latent_dim,metric_name,accumulation_method,value
1,1,log_likelihood,mean,764.741044
2,2,log_likelihood,mean,3437.907061
3,3,log_likelihood,mean,4226.742854
4,4,log_likelihood,mean,7531.242902
5,5,log_likelihood,mean,8794.824351
6,6,log_likelihood,mean,14209.233289
7,7,log_likelihood,mean,13163.148168
8,8,log_likelihood,mean,15639.511684
9,9,log_likelihood,mean,17223.720465
10,10,log_likelihood,mean,19818.720895
11,11,log_likelihood,mean,14417.201214
12,12,log_likelihood,mean,18817.294192
13,13,log_likelihood,mean,21525.573816
14,14,log_likelihood,mean,23246.811605
15,15,log_likelihood,mean,23858.288799
16,16,log_likelihood,mean,24613.324559
17,17,log_likelihood,mean,29371.649220
18,18,log_likelihood,mean,22899.209231
19,19,log_likelihood,mean,29615.414182
20,20,log_likelihood,mean,31706.893444
21,21,log_likelihood,mean,32825.048285
22,22,log_likelihood,mean,32508.533484
23,23,log_likelihood,mean,34824.237359
24,24,log_likelihood,mean,37740.112730
25,25,log_likelihood,mean,36478.305387
26,26,log_likelihood,mean,37607.798383
27,27,log_likelihood,mean,40236.464554
28,28,log_likelihood,mean,42591.976319
29,29,log_likelihood,mean,40910.765809
30,30,log_likelihood,mean,41847.132810
31,31,log_likelihood,mean,41337.839064
32,32,log_likelihood,mean,45266.759398
33,33,log_likelihood,mean,45212.494006
34,34,log_likelihood,mean,48002.577961
35,35,log_likelihood,mean,50527.148977
36,36,log_likelihood,mean,52104.578655
37,37,log_likelihood,mean,52992.909172
38,38,log_likelihood,mean,54720.323912
39,39,log_likelihood,mean,53819.542902
40,40,log_likelihood,mean,55354.394317
41,41,log_likelihood,mean,58762.517204
42,42,log_likelihood,mean,60208.718967
43,43,log_likelihood,mean,61700.965156
44,44,log_likelihood,mean,59937.693043
45,45,log_likelihood,mean,64037.104219
46,46,log_likelihood,mean,63543.889918
47,47,log_likelihood,mean,64943.943400
48,48,log_likelihood,mean,68558.274877
49,49,log_likelihood,mean,70343.682065
50,50,log_likelihood,mean,74795.870815
51,1,log_likelihood,mean,1166.049321
52,2,log_likelihood,mean,4452.226972
53,3,log_likelihood,mean,2478.061698
