run_id,latent_dim,metric_name,accumulation_method,value
1,1,log_likelihood,mean,37.133487
2,2,log_likelihood,mean,762.710298
3,3,log_likelihood,mean,654.228117
4,4,log_likelihood,mean,1124.498971
5,5,log_likelihood,mean,1658.478597
6,6,log_likelihood,mean,833.339391
7,7,log_likelihood,mean,2273.112546
8,8,log_likelihood,mean,1847.741245
9,9,log_likelihood,mean,2197.700999
10,10,log_likelihood,mean,2547.940282
11,11,log_likelihood,mean,2620.947321
12,12,log_likelihood,mean,1904.032827
13,13,log_likelihood,mean,2914.174008
14,14,log_likelihood,mean,2943.371712
15,15,log_likelihood,mean,2007.412128
16,16,log_likelihood,mean,3542.394419
17,17,log_likelihood,mean,3780.389323
18,18,log_likelihood,mean,3404.277391
19,19,log_likelihood,mean,3198.181783
20,20,log_likelihood,mean,3505.466118
21,21,log_likelihood,mean,3568.200303
22,22,log_likelihood,mean,3943.496786
23,23,log_likelihood,mean,3292.965670
24,24,log_likelihood,mean,3544.400126
25,25,log_likelihood,mean,3811.795669
26,26,log_likelihood,mean,3287.236634
27,27,log_likelihood,mean,3634.771798
28,28,log_likelihood,mean,3624.570433
29,29,log_likelihood,mean,4753.684014
30,30,log_likelihood,mean,4500.064884
31,31,log_likelihood,mean,4909.722593
32,32,log_likelihood,mean,4297.597996
33,33,log_likelihood,mean,4557.286771
35,35,log_likelihood,mean,4306.040366
36,36,log_likelihood,mean,4891.324806
37,37,log_likelihood,mean,5203.688681
38,38,log_likelihood,mean,5010.566866
51,1,log_likelihood,mean,331.639421
53,3,log_likelihood,mean,1062.301200
54,4,log_likelihood,mean,1117.939108
55,5,log_likelihood,mean,758.807669
56,6,log_likelihood,mean,848.302812
57,7,log_likelihood,mean,1458.768588
58,8,log_likelihood,mean,1739.938907
59,9,log_likelihood,mean,1977.691817
60,10,log_likelihood,mean,2027.589786
61,11,log_likelihood,mean,2963.296113
62,12,log_likelihood,mean,2730.705953
63,13,log_likelihood,mean,2867.691645
64,14,log_likelihood,mean,2563.816325
65,15,log_likelihood,mean,3284.532170
66,16,log_likelihood,mean,3314.678215
67,17,log_likelihood,mean,3708.224437
68,18,log_likelihood,mean,1804.951718
69,19,log_likelihood,mean,3963.156922
70,20,log_likelihood,mean,1903.281338
71,21,log_likelihood,mean,4131.296614
72,22,log_likelihood,mean,3830.093699
73,23,log_likelihood,mean,4028.036501
74,24,log_likelihood,mean,4119.622409
75,25,log_likelihood,mean,3793.904821
76,26,log_likelihood,mean,4558.631675
77,27,log_likelihood,mean,4179.971619
78,28,log_likelihood,mean,4720.893219
79,29,log_likelihood,mean,4786.310756
80,30,log_likelihood,mean,3716.657431
81,31,log_likelihood,mean,5161.539548
82,32,log_likelihood,mean,3732.424355
83,33,log_likelihood,mean,4379.213431
84,34,log_likelihood,mean,4742.279632
86,36,log_likelihood,mean,4398.107567
87,37,log_likelihood,mean,5442.879649
90,40,log_likelihood,mean,5480.190226
92,42,log_likelihood,mean,6100.734767
101,1,log_likelihood,mean,118.964554
102,2,log_likelihood,mean,661.230807
103,3,log_likelihood,mean,1080.925359
104,4,log_likelihood,mean,1525.562595
105,5,log_likelihood,mean,1360.323751
106,6,log_likelihood,mean,1264.633120
107,7,log_likelihood,mean,1209.422300
108,8,log_likelihood,mean,1924.596958
109,9,log_likelihood,mean,2437.267291
110,10,log_likelihood,mean,2144.646417
111,11,log_likelihood,mean,2683.223156
112,12,log_likelihood,mean,2781.420261
113,13,log_likelihood,mean,2650.471016
114,14,log_likelihood,mean,3029.526005
115,15,log_likelihood,mean,1467.447592
116,16,log_likelihood,mean,3018.025244
117,17,log_likelihood,mean,2750.576685
118,18,log_likelihood,mean,3226.874872
119,19,log_likelihood,mean,3259.182794
120,20,log_likelihood,mean,4273.229510
121,21,log_likelihood,mean,3169.283322
122,22,log_likelihood,mean,3362.897773
123,23,log_likelihood,mean,3848.832582
124,24,log_likelihood,mean,3492.619509
125,25,log_likelihood,mean,4862.548921
126,26,log_likelihood,mean,3647.763937
127,27,log_likelihood,mean,4110.454507
128,28,log_likelihood,mean,4356.947344
129,29,log_likelihood,mean,4521.893348
130,30,log_likelihood,mean,4342.527274
131,31,log_likelihood,mean,4524.807538
